race,hours,age,parttime,educ,logwg,loghrwg,married,nevermar,sepdivw
0,0,36,0,14,6.907755,3.350606,0,1,0
1,40,62,0,16,7.393263,3.555348,1,0,0
0,0,41,0,14,6.684612,2.674149,0,1,0
1,0,37,1,18,5.536704,2.772589,1,0,0
1,40,30,0,12,6.327937,2.639057,0,1,0
1,40,67,0,14,6.253829,2.564949,1,0,0
1,0,57,0,12,7.456316,3.770229,0,0,1
1,0,33,1,12,6.309918,2.420368,0,1,0
1,0,20,0,14,6.228511,2.397895,0,1,0
0,0,28,1,16,6.183344,3.258096,0,1,0
1,0,26,1,16,6.183344,3.258096,0,1,0
0,40,29,0,14,6.779922,3.091043,0,1,0
1,40,71,0,12,6.779922,2.772589,0,0,1
1,40,65,0,16,7.421776,3.732896,1,0,0
1,0,27,0,14,6.482863,2.442347,0,1,0
1,40,35,0,12,6.253829,2.564949,1,0,0
